,Date,Round Number,Round Name,Major Category,Minor Category,Minor Category 2,Notes,Possible Points,Coop,Replay,Alex,Megan,Jenny,Ichigo,Zach,Dan,Debi,Paige,Jeff,Drew,Chris,Dillon,Creator,Link
83,2020-05-27,6,Iconic Libations,Food,,,,9,No,No,7,8,6,6,,8,5,,,,,,Zach,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_7_77
84,2020-05-27,7,Oregon Trail,History,Modern History,,,9,No,No,7,5,,4,5,6,6,,,,,,Jenny,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_32_53
85,2020-05-27,8,Scattergories,Word Games,,,,10,No,No,,8,8,9,8,9,8,,,,,,Alex,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_2_45
86,2020-06-02,1,Top 10 Money-Making Movies,Entertainment,Movies,,,8,No,No,4,3,,5,6,2,0,,,,2,,Jenny,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_34_55
87,2020-06-02,2,Who's the Missing Character? Picture Round,Entertainment,Pop Culture,Television,,8,No,No,8,8,8,,7,7,5,,,,6,,Ichigo,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_7_50
88,2020-06-02,3,Alex's Hardest Questions,Hodgepodge,,,,8,No,No,,5,6,7,6,5,2,,,,4,,Alex,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_12_50
89,2020-06-02,4,Animal Olympics,Nature,Animals,,,8,No,No,4.5,6,6,6.5,7.5,,7.5,,,,5,,Dad,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_39_0
90,2020-06-02,5,City Nicknames,Geography,,,,8,No,No,3.5,4,1,4,4.25,3.5,1,,,,,,Chris,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_2_45
91,2020-06-02,6,Similar Movies,Entertainment,Movies,,,10,No,No,10,,9,8,10,10,4,,,,10,,Megan,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_18_45
92,2020-06-02,7,Just Timeline,History,Modern History,Ancient History,,8,No,No,6,7,7,5,,8,7,,,,4,,Zach,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_23_45
93,2020-06-02,8,All Messed Up,Word Games,,,,8,No,No,8,8,8,8,8,8,,,,,8,,Mom,https://docs.google.com/presentation/d/1fX5jEEaTo04K05JqIKpHq7A1uW72GrvqnYiexCrwNLY/embed?start=false&slide=id.g8644fe3a29_29_0
